ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"149.28.132.92","elite","AS20473","SG","The Constant Company","247","Vultr Holdings, LLC","25820","socks4","1","100","3462","3470","2025-12-11T15:29:57.069Z","98"
"61.7.138.57","elite","AS131090","TH","CAT Telecom Public Company Limited","187","National Telecom Public Company Limited","5678","socks4","1","81","8924","11034","2025-12-11T15:29:57.071Z","5087"
"85.242.190.63","elite","AS3243","PT","PT Comunicacoes S.A","55","PT Comunicacoes S.A.","5156","socks5","1","94","10359","11056","2025-12-11T15:29:57.066Z","85"
"186.210.125.198","elite","AS53006","BR","ALGAR TELECOM S/A","226","ALGAR TELECOM S/A","443","socks5","1","97","4117","4256","2025-12-11T15:29:56.998Z","4292"
"203.124.53.122","elite","AS7590","PK","COMSATS","223","CIS HQ","5678","socks4","1","88","9674","11003","2025-12-11T15:29:56.971Z","4907"
"8.35.211.133","elite","AS13335","US","Cloudflare, Inc.","10","Level 3","80","http","33799","100","63","63","2025-12-11T15:29:56.995Z","4280"
"108.175.24.1","elite","AS32798","US","Highline Services, LLC","128","Highline Services, LLC","13135","socks4","1","100","4367","4380","2025-12-11T15:29:56.998Z","4606"
"211.128.96.206","elite","AS9993","JP","ITOCHU Techno-Solutions Corporation","508","CRC","8037","socks4","1","100","1908","1912","2025-12-11T15:29:56.998Z","3182"
"103.10.99.110","elite","AS18103","ID","Neuviz","187","N/A","5678","socks4","1","99","4322","4379","2025-12-11T15:29:56.997Z","4472"
"77.43.212.236","elite","AS15640","RU","MTS PJSC","89","CCL Dynamic01","7788","socks5","1","32","1326","4178","2025-12-11T15:29:56.996Z","4482"
"118.70.126.245","elite","AS18403","VN","Vietnam Internet Network Information Center","203","N/A","5678","socks4","1","98","4317","4388","2025-12-11T15:29:56.997Z","3525"
"111.68.31.130","elite","AS55666","ID","PT Media Sarana Data","177","Gmedia ID Yogyakarta","3128","socks5","1","99","10888","10980","2025-12-11T15:29:23.198Z","4787"
"177.234.244.170","elite","AS52468","EC","Ufinet Panama S.A.","164","Negocios Y Telefonia Nedetel S.A","32213","socks4","1","100","4204","4211","2025-12-11T15:29:23.262Z","1404"
"178.62.226.96","elite","AS14061","NL","DigitalOcean, LLC","20","Digital Ocean","26546","socks4","61","100","11073","11076","2025-12-11T15:29:23.195Z","3877"
"87.121.77.130","elite","AS60784","BG","Neterra Ltd.","80","N/A","4145","socks4","60","100","2404","2414","2025-12-11T15:29:23.263Z","4217"
"91.241.130.127","elite","AS43400","RU","TOV NEO-TELECOM","81","TOV NEO-TELECOM","8080","socks5","1","58","6369","11040","2025-12-11T15:29:23.264Z","3897"
"138.201.21.228","elite","AS24940","DE","Hetzner Online GmbH","23","Hetzner","53693","socks4","1","64","2772","4323","2025-12-11T15:29:23.264Z","5009"
"188.166.234.144","elite","AS14061","SG","DigitalOcean, LLC","251","Digitalocean","54548","socks4","1","100","218","218","2025-12-11T15:29:23.194Z","2291"
"23.227.38.203","elite","AS13335","CA","Cloudflare, Inc.","10","Shopify, Inc.","80","http","36802","100","23","23","2025-12-11T15:29:22.892Z","303"
"201.76.9.26","elite","AS28642","BR","Contato Internet EIRELI","235","Contato Internet EIRELI","4145","socks4","1","100","11068","11117","2025-12-11T15:29:22.981Z","4578"
"41.111.198.108","elite","AS36947","DZ","Algerie Telecom","49","N/A","443","socks4","1","95","2284","2399","2025-12-11T15:29:22.981Z","4682"
"58.65.167.165","elite","AS23674","PK","Nayatel (Pvt) Ltd","136","Micronet","4145","socks4","1","100","4158","4178","2025-12-11T15:29:22.981Z","2407"
"119.41.198.22","elite","AS4134","CN","Chinanet","274","Hainan TELECOM","8989","socks4","1","50","2072","4178","2025-12-11T15:29:22.992Z","25"
"85.248.57.129","elite","AS5578","SK","SWAN, a.s.","20","Aservices Modra","4153","socks4","1","100","4218","4222","2025-12-11T15:29:22.865Z","3816"
"218.83.201.226","elite","AS4812","CN","China Telecom (Group)","239","Chinanet SH","10800","socks4","1","98","1673","1711","2025-12-11T15:29:22.867Z","4710"
"213.32.91.205","elite","AS16276","FR","OVH SAS","10","OVH","3128","socks4","1","87","9681","11093","2025-12-11T15:29:22.992Z","3909"
"77.46.138.1","elite","AS8400","RS","TELEKOM-SRBIJA","29","N/A","33608","socks4","1","100","4064","4066","2025-12-11T15:29:22.870Z","4670"
"69.84.182.162","elite","AS14197","US","Health Market Science","7","LexisNexis Risk Data Management Inc","80","http","36714","100","67","67","2025-12-11T15:29:22.978Z","4190"
"43.159.37.252","elite","AS132203","SG","Shenzhen Tencent Computer Systems Company Limited","249","Aceville Pte.ltd","20357","socks4","1","94","3133","3324","2025-12-11T15:29:22.989Z","3114"
"152.42.148.189","elite","AS14061","NL","DigitalOcean, LLC","13","DigitalOcean, LLC","3128","socks4","1","95","2284","2412","2025-12-11T15:29:22.868Z","2287"
"168.205.217.99","elite","AS264869","BR","SPEED MAX TELECOMUNICAÇÕES LTDA ME","246","SPEED MAX TELECOMUNICAÇÕES LTDA ME","4145","socks4","1","94","2506","2668","2025-12-11T15:29:22.984Z","4163"
"1.0.0.84","elite","AS13335","AU","Cloudflare, Inc","62","APNIC and Cloudflare DNS Resolver project","80","socks4","1","100","11118","11120","2025-12-11T15:29:22.979Z","4616"
"23.227.38.114","elite","AS13335","CA","Cloudflare, Inc.","4","Shopify, Inc.","80","http","36877","100","23","23","2025-12-11T15:29:22.882Z","4092"
"104.18.125.25","elite","AS13335","CA","Cloudflare, Inc.","61","Cloudflare, Inc.","80","http","36914","100","60","60","2025-12-11T15:29:22.873Z","2765"
"121.43.189.36","elite","AS37963","CN","Hangzhou Alibaba Advertising Co., Ltd.","239","Alibaba.com LLC","28888","socks4","1","95","288","302","2025-12-11T15:29:22.984Z","3217"
"101.51.104.182","elite","AS23969","TH","TOT Public Company Limited","177","TOT Public Company Limited","4145","socks4","1","45","4951","10975","2025-12-11T15:29:22.980Z","1494"
